date,Evanna Lynch,Dancing with the Stars,normalized_score
2018-09-24,1,26,3.8461538461538463
2018-09-25,5,100,5.0
2018-09-26,2,86,2.3255813953488373
2018-09-27,1,17,5.88235294117647
2018-09-28,0,10,0.0
2018-09-29,0,10,0.0
2018-09-30,0,10,0.0
2018-10-01,0,11,0.0
2018-10-02,3,56,5.357142857142857
2018-10-03,3,55,5.454545454545454
2018-10-04,1,12,8.333333333333332
2018-10-05,0,9,0.0
2018-10-06,0,8,0.0
2018-10-07,0,12,0.0
2018-10-08,0,35,0.0
2018-10-09,3,62,4.838709677419355
2018-10-10,1,16,6.25
2018-10-11,0,9,0.0
2018-10-12,0,6,0.0
2018-10-13,0,6,0.0
2018-10-14,0,9,0.0
2018-10-15,0,20,0.0
2018-10-16,2,47,4.25531914893617
2018-10-17,0,12,0.0
2018-10-18,0,8,0.0
2018-10-19,0,6,0.0
2018-10-20,0,6,0.0
2018-10-21,0,7,0.0
2018-10-22,0,23,0.0
2018-10-23,2,48,4.166666666666666
2018-10-24,0,12,0.0
2018-10-25,0,7,0.0
2018-10-26,0,6,0.0
2018-10-27,0,6,0.0
2018-10-28,0,6,0.0
2018-10-29,1,16,6.25
2018-10-30,2,51,3.9215686274509802
2018-10-31,0,11,0.0
2018-11-01,0,5,0.0
2018-11-02,0,6,0.0
2018-11-03,0,5,0.0
2018-11-04,0,6,0.0
2018-11-05,0,9,0.0
2018-11-06,3,55,5.454545454545454
2018-11-07,1,12,8.333333333333332
2018-11-08,0,7,0.0
2018-11-09,0,5,0.0
2018-11-10,0,5,0.0
2018-11-11,1,6,16.666666666666664
2018-11-12,0,15,0.0
2018-11-13,5,67,7.462686567164178
2018-11-14,1,16,6.25
2018-11-15,0,8,0.0
2018-11-16,0,6,0.0
2018-11-17,1,8,12.5
2018-11-18,1,7,14.285714285714285
2018-11-19,1,23,4.3478260869565215
