date,Jonathan Bennett,Dancing with the Stars,normalized_score
2014-09-15,1,18,5.555555555555555
2014-09-16,7,72,9.722222222222223
2014-09-17,3,56,5.357142857142857
2014-09-18,1,13,7.6923076923076925
2014-09-19,1,7,14.285714285714285
2014-09-20,2,7,28.57142857142857
2014-09-21,1,5,20.0
2014-09-22,1,8,12.5
2014-09-23,6,43,13.953488372093023
2014-09-24,2,37,5.405405405405405
2014-09-25,1,10,10.0
2014-09-26,0,6,0.0
2014-09-27,0,5,0.0
2014-09-28,0,5,0.0
2014-09-29,0,6,0.0
2014-09-30,2,40,5.0
2014-10-01,1,11,9.090909090909092
2014-10-02,0,5,0.0
2014-10-03,1,4,25.0
2014-10-04,2,4,50.0
2014-10-05,1,3,33.33333333333333
2014-10-06,0,5,0.0
2014-10-07,2,52,3.8461538461538463
2014-10-08,1,18,5.555555555555555
2014-10-09,0,10,0.0
2014-10-10,0,7,0.0
2014-10-11,0,6,0.0
2014-10-12,0,5,0.0
2014-10-13,0,6,0.0
2014-10-14,3,32,9.375
2014-10-15,0,9,0.0
2014-10-16,0,5,0.0
2014-10-17,0,3,0.0
2014-10-18,0,4,0.0
2014-10-19,0,4,0.0
2014-10-20,0,5,0.0
2014-10-21,3,37,8.108108108108109
2014-10-22,1,9,11.11111111111111
2014-10-23,0,6,0.0
2014-10-24,0,4,0.0
2014-10-25,0,4,0.0
2014-10-26,0,4,0.0
2014-10-27,0,5,0.0
2014-10-28,0,28,0.0
2014-10-29,0,8,0.0
2014-10-30,0,5,0.0
2014-10-31,0,3,0.0
2014-11-01,0,4,0.0
2014-11-02,0,3,0.0
2014-11-03,0,4,0.0
2014-11-04,0,30,0.0
2014-11-05,0,7,0.0
2014-11-06,0,5,0.0
2014-11-07,0,4,0.0
2014-11-08,0,4,0.0
2014-11-09,0,3,0.0
2014-11-10,0,4,0.0
2014-11-11,0,38,0.0
2014-11-12,0,9,0.0
2014-11-13,0,5,0.0
2014-11-14,0,4,0.0
2014-11-15,0,5,0.0
2014-11-16,0,4,0.0
2014-11-17,0,5,0.0
2014-11-18,0,40,0.0
2014-11-19,0,9,0.0
2014-11-20,0,5,0.0
2014-11-21,0,4,0.0
2014-11-22,0,5,0.0
2014-11-23,0,4,0.0
2014-11-24,0,7,0.0
2014-11-25,0,100,0.0
