date,Amber Riley,Dancing with the Stars,normalized_score
2013-09-16,1,26,3.8461538461538463
2013-09-17,10,100,10.0
2013-09-18,3,25,12.0
2013-09-19,2,14,14.285714285714285
2013-09-20,1,10,10.0
2013-09-21,1,8,12.5
2013-09-22,1,7,14.285714285714285
2013-09-23,1,11,9.090909090909092
2013-09-24,5,76,6.578947368421052
2013-09-25,1,18,5.555555555555555
2013-09-26,0,8,0.0
2013-09-27,1,6,16.666666666666664
2013-09-28,1,6,16.666666666666664
2013-09-29,1,6,16.666666666666664
2013-09-30,0,7,0.0
2013-10-01,1,43,2.3255813953488373
2013-10-02,0,14,0.0
2013-10-03,1,7,14.285714285714285
2013-10-04,1,5,20.0
2013-10-05,1,5,20.0
2013-10-06,0,5,0.0
2013-10-07,0,6,0.0
2013-10-08,2,49,4.081632653061225
2013-10-09,1,9,11.11111111111111
2013-10-10,0,5,0.0
2013-10-11,1,5,20.0
2013-10-12,1,5,20.0
2013-10-13,1,5,20.0
2013-10-14,0,6,0.0
2013-10-15,2,53,3.7735849056603774
2013-10-16,1,12,8.333333333333332
2013-10-17,0,6,0.0
2013-10-18,0,5,0.0
2013-10-19,1,5,20.0
2013-10-20,0,4,0.0
2013-10-21,0,6,0.0
2013-10-22,2,41,4.878048780487805
2013-10-23,1,10,10.0
2013-10-24,0,6,0.0
2013-10-25,0,5,0.0
2013-10-26,0,4,0.0
2013-10-27,0,4,0.0
2013-10-28,0,5,0.0
2013-10-29,3,47,6.382978723404255
2013-10-30,1,13,7.6923076923076925
2013-10-31,1,7,14.285714285714285
2013-11-01,1,5,20.0
2013-11-02,0,5,0.0
2013-11-03,0,5,0.0
2013-11-04,1,6,16.666666666666664
2013-11-05,3,41,7.317073170731707
2013-11-06,1,11,9.090909090909092
2013-11-07,0,7,0.0
2013-11-08,0,6,0.0
2013-11-09,0,5,0.0
2013-11-10,1,5,20.0
2013-11-11,0,5,0.0
2013-11-12,2,48,4.166666666666666
2013-11-13,0,12,0.0
2013-11-14,0,6,0.0
2013-11-15,0,5,0.0
2013-11-16,0,5,0.0
2013-11-17,0,4,0.0
2013-11-18,0,5,0.0
2013-11-19,4,47,8.51063829787234
2013-11-20,1,11,9.090909090909092
2013-11-21,0,6,0.0
2013-11-22,1,5,20.0
2013-11-23,1,5,20.0
2013-11-24,1,5,20.0
2013-11-25,1,8,12.5
2013-11-26,6,54,11.11111111111111
