date,Barbara Corcoran,Dancing with the Stars,normalized_score
2017-09-18,0,34,0.0
2017-09-19,24,100,24.0
2017-09-20,4,22,18.181818181818183
2017-09-21,2,11,18.181818181818183
2017-09-22,1,9,11.11111111111111
2017-09-23,1,8,12.5
2017-09-24,1,7,14.285714285714285
2017-09-25,1,13,7.6923076923076925
2017-09-26,13,73,17.80821917808219
2017-09-27,3,84,3.571428571428571
2017-09-28,1,18,5.555555555555555
2017-09-29,1,9,11.11111111111111
2017-09-30,1,8,12.5
2017-10-01,1,8,12.5
2017-10-02,1,9,11.11111111111111
2017-10-03,1,65,1.5384615384615385
2017-10-04,0,21,0.0
2017-10-05,0,10,0.0
2017-10-06,0,8,0.0
2017-10-07,1,7,14.285714285714285
2017-10-08,0,7,0.0
2017-10-09,2,10,20.0
2017-10-10,1,67,1.4925373134328357
2017-10-11,1,16,6.25
2017-10-12,0,9,0.0
2017-10-13,0,7,0.0
2017-10-14,1,7,14.285714285714285
2017-10-15,0,7,0.0
2017-10-16,0,8,0.0
2017-10-17,0,58,0.0
2017-10-18,0,13,0.0
2017-10-19,0,8,0.0
2017-10-20,0,6,0.0
2017-10-21,0,6,0.0
2017-10-22,0,6,0.0
2017-10-23,0,8,0.0
2017-10-24,0,58,0.0
2017-10-25,0,12,0.0
2017-10-26,0,7,0.0
2017-10-27,1,5,20.0
2017-10-28,0,5,0.0
2017-10-29,0,5,0.0
2017-10-30,0,8,0.0
2017-10-31,0,53,0.0
2017-11-01,0,12,0.0
2017-11-02,0,7,0.0
2017-11-03,0,6,0.0
2017-11-04,0,6,0.0
2017-11-05,0,6,0.0
2017-11-06,0,6,0.0
2017-11-07,0,56,0.0
2017-11-08,1,13,7.6923076923076925
2017-11-09,1,8,12.5
2017-11-10,0,6,0.0
2017-11-11,0,6,0.0
2017-11-12,0,6,0.0
2017-11-13,0,9,0.0
2017-11-14,0,67,0.0
2017-11-15,0,15,0.0
2017-11-16,0,8,0.0
2017-11-17,0,7,0.0
2017-11-18,0,8,0.0
2017-11-19,0,10,0.0
2017-11-20,0,12,0.0
2017-11-21,1,87,1.1494252873563218
