date,Tyson Beckford,Dancing with the Stars,normalized_score
2023-09-26,0,26,0.0
2023-09-27,7,100,7.000000000000001
2023-09-28,1,24,4.166666666666666
2023-09-29,1,13,7.6923076923076925
2023-09-30,1,10,10.0
2023-10-01,1,10,10.0
2023-10-02,0,10,0.0
2023-10-03,0,16,0.0
2023-10-04,4,50,8.0
2023-10-05,1,13,7.6923076923076925
2023-10-06,1,8,12.5
2023-10-07,0,8,0.0
2023-10-08,0,6,0.0
2023-10-09,0,7,0.0
2023-10-10,0,11,0.0
2023-10-11,7,51,13.725490196078432
2023-10-12,1,11,9.090909090909092
2023-10-13,1,6,16.666666666666664
2023-10-14,0,6,0.0
2023-10-15,0,6,0.0
2023-10-16,0,6,0.0
2023-10-17,0,10,0.0
2023-10-18,0,43,0.0
2023-10-19,0,14,0.0
2023-10-20,0,8,0.0
2023-10-21,0,6,0.0
2023-10-22,0,6,0.0
2023-10-23,0,6,0.0
2023-10-24,0,11,0.0
2023-10-25,0,50,0.0
2023-10-26,0,25,0.0
2023-10-27,1,11,9.090909090909092
2023-10-28,0,7,0.0
2023-10-29,0,5,0.0
2023-10-30,0,5,0.0
2023-10-31,0,8,0.0
2023-11-01,0,35,0.0
2023-11-02,0,8,0.0
2023-11-03,0,6,0.0
2023-11-04,0,6,0.0
2023-11-05,0,5,0.0
2023-11-06,0,5,0.0
2023-11-07,0,7,0.0
2023-11-08,0,43,0.0
2023-11-09,0,10,0.0
2023-11-10,0,7,0.0
2023-11-11,0,6,0.0
2023-11-12,0,6,0.0
2023-11-13,0,4,0.0
2023-11-14,0,7,0.0
2023-11-15,0,48,0.0
2023-11-16,0,15,0.0
2023-11-17,0,8,0.0
2023-11-18,0,6,0.0
2023-11-19,0,6,0.0
2023-11-20,0,5,0.0
2023-11-21,0,13,0.0
2023-11-22,0,78,0.0
2023-11-23,0,13,0.0
2023-11-24,0,7,0.0
2023-11-25,0,7,0.0
2023-11-26,0,6,0.0
2023-11-27,0,5,0.0
2023-11-28,0,8,0.0
2023-11-29,0,53,0.0
2023-11-30,0,12,0.0
2023-12-01,0,7,0.0
2023-12-02,0,7,0.0
2023-12-03,0,6,0.0
2023-12-04,0,5,0.0
2023-12-05,0,13,0.0
