date,Melissa Rycroft,Dancing with the Stars,normalized_score
2009-03-09,7,40,17.5
2009-03-10,12,100,12.0
2009-03-11,5,31,16.129032258064516
2009-03-12,3,15,20.0
2009-03-13,2,11,18.181818181818183
2009-03-14,2,10,20.0
2009-03-15,2,14,14.285714285714285
2009-03-16,2,13,15.384615384615385
2009-03-17,6,55,10.909090909090908
2009-03-18,4,51,7.8431372549019605
2009-03-19,1,16,6.25
2009-03-20,1,7,14.285714285714285
2009-03-21,1,8,12.5
2009-03-22,2,13,15.384615384615385
2009-03-23,1,9,11.11111111111111
2009-03-24,3,48,6.25
2009-03-25,2,49,4.081632653061225
2009-03-26,1,20,5.0
2009-03-27,0,12,0.0
2009-03-28,1,8,12.5
2009-03-29,1,7,14.285714285714285
2009-03-30,1,9,11.11111111111111
2009-03-31,2,43,4.651162790697675
2009-04-01,2,48,4.166666666666666
2009-04-02,2,19,10.526315789473683
2009-04-03,1,10,10.0
2009-04-04,1,8,12.5
2009-04-05,1,7,14.285714285714285
2009-04-06,1,8,12.5
2009-04-07,2,33,6.0606060606060606
2009-04-08,2,41,4.878048780487805
2009-04-09,1,15,6.666666666666667
2009-04-10,0,8,0.0
2009-04-11,1,7,14.285714285714285
2009-04-12,0,5,0.0
2009-04-13,1,7,14.285714285714285
2009-04-14,2,39,5.128205128205128
2009-04-15,2,42,4.761904761904762
2009-04-16,1,14,7.142857142857142
2009-04-17,1,7,14.285714285714285
2009-04-18,0,6,0.0
2009-04-19,0,5,0.0
2009-04-20,0,7,0.0
2009-04-21,2,31,6.451612903225806
2009-04-22,1,39,2.564102564102564
2009-04-23,1,13,7.6923076923076925
2009-04-24,1,7,14.285714285714285
2009-04-25,0,7,0.0
2009-04-26,1,5,20.0
2009-04-27,0,5,0.0
2009-04-28,6,36,16.666666666666664
2009-04-29,4,51,7.8431372549019605
2009-04-30,1,17,5.88235294117647
2009-05-01,1,8,12.5
2009-05-02,1,6,16.666666666666664
2009-05-03,1,5,20.0
2009-05-04,1,8,12.5
2009-05-05,9,38,23.684210526315788
2009-05-06,6,56,10.714285714285714
2009-05-07,2,18,11.11111111111111
2009-05-08,1,8,12.5
2009-05-09,2,6,33.33333333333333
2009-05-10,1,6,16.666666666666664
2009-05-11,1,7,14.285714285714285
2009-05-12,3,33,9.090909090909092
2009-05-13,2,49,4.081632653061225
2009-05-14,1,16,6.25
2009-05-15,1,7,14.285714285714285
2009-05-16,1,5,20.0
2009-05-17,1,5,20.0
2009-05-18,2,10,20.0
2009-05-19,3,50,6.0
