date,Lil' Kim,Dancing with the Stars,normalized_score
2009-03-09,0,40,0.0
2009-03-10,0,100,0.0
2009-03-11,0,31,0.0
2009-03-12,0,15,0.0
2009-03-13,0,11,0.0
2009-03-14,0,10,0.0
2009-03-15,0,14,0.0
2009-03-16,0,13,0.0
2009-03-17,0,55,0.0
2009-03-18,0,51,0.0
2009-03-19,0,16,0.0
2009-03-20,0,7,0.0
2009-03-21,0,8,0.0
2009-03-22,0,13,0.0
2009-03-23,0,9,0.0
2009-03-24,0,48,0.0
2009-03-25,0,49,0.0
2009-03-26,0,20,0.0
2009-03-27,0,12,0.0
2009-03-28,0,8,0.0
2009-03-29,0,7,0.0
2009-03-30,0,9,0.0
2009-03-31,0,43,0.0
2009-04-01,0,48,0.0
2009-04-02,0,19,0.0
2009-04-03,0,10,0.0
2009-04-04,0,8,0.0
2009-04-05,0,7,0.0
2009-04-06,0,8,0.0
2009-04-07,0,33,0.0
2009-04-08,0,41,0.0
2009-04-09,0,15,0.0
2009-04-10,0,8,0.0
2009-04-11,0,7,0.0
2009-04-12,0,5,0.0
2009-04-13,0,7,0.0
2009-04-14,0,39,0.0
2009-04-15,0,42,0.0
2009-04-16,0,14,0.0
2009-04-17,0,7,0.0
2009-04-18,0,6,0.0
2009-04-19,0,5,0.0
2009-04-20,0,7,0.0
2009-04-21,0,31,0.0
2009-04-22,0,39,0.0
2009-04-23,0,13,0.0
2009-04-24,0,7,0.0
2009-04-25,0,7,0.0
2009-04-26,0,5,0.0
2009-04-27,0,5,0.0
2009-04-28,0,36,0.0
2009-04-29,0,51,0.0
2009-04-30,0,17,0.0
2009-05-01,0,8,0.0
2009-05-02,0,6,0.0
2009-05-03,0,5,0.0
2009-05-04,0,8,0.0
2009-05-05,0,38,0.0
2009-05-06,0,56,0.0
2009-05-07,0,18,0.0
2009-05-08,0,8,0.0
2009-05-09,0,6,0.0
2009-05-10,0,6,0.0
2009-05-11,0,7,0.0
2009-05-12,0,33,0.0
2009-05-13,0,49,0.0
2009-05-14,0,16,0.0
2009-05-15,0,7,0.0
2009-05-16,0,5,0.0
2009-05-17,0,5,0.0
2009-05-18,0,10,0.0
2009-05-19,0,50,0.0
