date,Ty Murray,Dancing with the Stars,normalized_score
2009-03-09,1,44,2.272727272727273
2009-03-10,2,100,2.0
2009-03-11,0,31,0.0
2009-03-12,0,15,0.0
2009-03-13,0,11,0.0
2009-03-14,0,9,0.0
2009-03-15,1,14,7.142857142857142
2009-03-16,0,13,0.0
2009-03-17,1,57,1.7543859649122806
2009-03-18,1,52,1.9230769230769231
2009-03-19,0,17,0.0
2009-03-20,0,7,0.0
2009-03-21,0,8,0.0
2009-03-22,0,13,0.0
2009-03-23,0,9,0.0
2009-03-24,1,48,2.083333333333333
2009-03-25,1,48,2.083333333333333
2009-03-26,0,20,0.0
2009-03-27,0,12,0.0
2009-03-28,0,8,0.0
2009-03-29,0,7,0.0
2009-03-30,0,9,0.0
2009-03-31,1,42,2.380952380952381
2009-04-01,0,49,0.0
2009-04-02,0,19,0.0
2009-04-03,0,9,0.0
2009-04-04,0,8,0.0
2009-04-05,0,7,0.0
2009-04-06,0,9,0.0
2009-04-07,1,34,2.941176470588235
2009-04-08,0,41,0.0
2009-04-09,0,15,0.0
2009-04-10,0,8,0.0
2009-04-11,0,7,0.0
2009-04-12,0,5,0.0
2009-04-13,0,7,0.0
2009-04-14,1,39,2.564102564102564
2009-04-15,0,43,0.0
2009-04-16,1,14,7.142857142857142
2009-04-17,0,7,0.0
2009-04-18,0,7,0.0
2009-04-19,0,6,0.0
2009-04-20,0,7,0.0
2009-04-21,1,31,3.225806451612903
2009-04-22,1,43,2.3255813953488373
2009-04-23,0,13,0.0
2009-04-24,0,7,0.0
2009-04-25,0,7,0.0
2009-04-26,0,5,0.0
2009-04-27,0,6,0.0
2009-04-28,2,39,5.128205128205128
2009-04-29,1,44,2.272727272727273
2009-04-30,0,17,0.0
2009-05-01,0,8,0.0
2009-05-02,0,6,0.0
2009-05-03,0,5,0.0
2009-05-04,0,8,0.0
2009-05-05,1,39,2.564102564102564
2009-05-06,2,55,3.6363636363636362
2009-05-07,1,18,5.555555555555555
2009-05-08,0,8,0.0
2009-05-09,0,6,0.0
2009-05-10,0,6,0.0
2009-05-11,0,8,0.0
2009-05-12,2,36,5.555555555555555
2009-05-13,2,50,4.0
2009-05-14,1,17,5.88235294117647
2009-05-15,0,7,0.0
2009-05-16,0,5,0.0
2009-05-17,0,5,0.0
2009-05-18,0,10,0.0
2009-05-19,0,54,0.0
