date,Jesse Metcalfe,Dancing with the Stars,normalized_score
2020-09-14,1,22,4.545454545454546
2020-09-15,12,100,12.0
2020-09-16,3,27,11.11111111111111
2020-09-17,2,13,15.384615384615385
2020-09-18,1,9,11.11111111111111
2020-09-19,1,8,12.5
2020-09-20,1,7,14.285714285714285
2020-09-21,0,11,0.0
2020-09-22,0,19,0.0
2020-09-23,9,53,16.9811320754717
2020-09-24,2,13,15.384615384615385
2020-09-25,1,8,12.5
2020-09-26,1,7,14.285714285714285
2020-09-27,1,7,14.285714285714285
2020-09-28,1,10,10.0
2020-09-29,6,47,12.76595744680851
2020-09-30,1,9,11.11111111111111
2020-10-01,1,10,10.0
2020-10-02,0,5,0.0
2020-10-03,1,5,20.0
2020-10-04,1,5,20.0
2020-10-05,0,6,0.0
2020-10-06,5,62,8.064516129032258
2020-10-07,1,16,6.25
2020-10-08,1,6,16.666666666666664
2020-10-09,2,5,40.0
2020-10-10,1,5,20.0
2020-10-11,1,4,25.0
2020-10-12,1,5,20.0
2020-10-13,7,38,18.421052631578945
2020-10-14,1,9,11.11111111111111
2020-10-15,1,5,20.0
2020-10-16,1,4,25.0
2020-10-17,1,3,33.33333333333333
2020-10-18,0,3,0.0
2020-10-19,0,5,0.0
2020-10-20,1,40,2.5
2020-10-21,0,8,0.0
2020-10-22,1,4,25.0
2020-10-23,1,3,33.33333333333333
2020-10-24,1,3,33.33333333333333
2020-10-25,0,4,0.0
2020-10-26,0,5,0.0
2020-10-27,0,35,0.0
2020-10-28,0,7,0.0
2020-10-29,0,4,0.0
2020-10-30,0,3,0.0
2020-10-31,0,3,0.0
2020-11-01,1,3,33.33333333333333
2020-11-02,0,14,0.0
2020-11-03,0,42,0.0
2020-11-04,0,4,0.0
2020-11-05,0,3,0.0
2020-11-06,0,3,0.0
2020-11-07,0,3,0.0
2020-11-08,0,3,0.0
2020-11-09,0,4,0.0
2020-11-10,0,36,0.0
2020-11-11,0,6,0.0
2020-11-12,0,4,0.0
2020-11-13,0,3,0.0
2020-11-14,0,3,0.0
2020-11-15,0,3,0.0
2020-11-16,0,4,0.0
2020-11-17,0,39,0.0
2020-11-18,0,8,0.0
2020-11-19,0,4,0.0
2020-11-20,0,3,0.0
2020-11-21,0,3,0.0
2020-11-22,1,3,33.33333333333333
2020-11-23,1,7,14.285714285714285
