date,Justina Machado,Dancing with the Stars,normalized_score
2020-09-14,0,22,0.0
2020-09-15,5,100,5.0
2020-09-16,2,27,7.4074074074074066
2020-09-17,1,13,7.6923076923076925
2020-09-18,0,9,0.0
2020-09-19,0,8,0.0
2020-09-20,0,7,0.0
2020-09-21,0,11,0.0
2020-09-22,0,19,0.0
2020-09-23,5,53,9.433962264150944
2020-09-24,1,13,7.6923076923076925
2020-09-25,0,8,0.0
2020-09-26,0,7,0.0
2020-09-27,0,7,0.0
2020-09-28,0,10,0.0
2020-09-29,3,47,6.382978723404255
2020-09-30,0,9,0.0
2020-10-01,0,10,0.0
2020-10-02,0,5,0.0
2020-10-03,0,5,0.0
2020-10-04,0,5,0.0
2020-10-05,0,6,0.0
2020-10-06,3,62,4.838709677419355
2020-10-07,1,16,6.25
2020-10-08,0,6,0.0
2020-10-09,0,5,0.0
2020-10-10,0,5,0.0
2020-10-11,0,4,0.0
2020-10-12,0,5,0.0
2020-10-13,3,38,7.894736842105263
2020-10-14,0,9,0.0
2020-10-15,0,5,0.0
2020-10-16,0,4,0.0
2020-10-17,0,3,0.0
2020-10-18,0,3,0.0
2020-10-19,0,5,0.0
2020-10-20,3,40,7.5
2020-10-21,1,8,12.5
2020-10-22,0,4,0.0
2020-10-23,0,3,0.0
2020-10-24,0,3,0.0
2020-10-25,0,4,0.0
2020-10-26,0,5,0.0
2020-10-27,2,35,5.714285714285714
2020-10-28,0,7,0.0
2020-10-29,0,4,0.0
2020-10-30,0,3,0.0
2020-10-31,0,3,0.0
2020-11-01,0,3,0.0
2020-11-02,0,14,0.0
2020-11-03,2,42,4.761904761904762
2020-11-04,0,4,0.0
2020-11-05,0,3,0.0
2020-11-06,0,3,0.0
2020-11-07,0,3,0.0
2020-11-08,0,3,0.0
2020-11-09,0,4,0.0
2020-11-10,2,36,5.555555555555555
2020-11-11,0,6,0.0
2020-11-12,0,4,0.0
2020-11-13,0,3,0.0
2020-11-14,0,3,0.0
2020-11-15,0,3,0.0
2020-11-16,0,4,0.0
2020-11-17,3,39,7.6923076923076925
2020-11-18,1,8,12.5
2020-11-19,0,4,0.0
2020-11-20,0,3,0.0
2020-11-21,0,3,0.0
2020-11-22,0,3,0.0
2020-11-23,0,7,0.0
