date,Drew Carey,Dancing with the Stars,normalized_score
2014-03-17,1,23,4.3478260869565215
2014-03-18,16,96,16.666666666666664
2014-03-19,2,23,8.695652173913043
2014-03-20,2,12,16.666666666666664
2014-03-21,1,8,12.5
2014-03-22,2,8,25.0
2014-03-23,1,7,14.285714285714285
2014-03-24,2,10,20.0
2014-03-25,8,91,8.791208791208792
2014-03-26,2,20,10.0
2014-03-27,1,11,9.090909090909092
2014-03-28,1,7,14.285714285714285
2014-03-29,1,7,14.285714285714285
2014-03-30,1,6,16.666666666666664
2014-03-31,1,7,14.285714285714285
2014-04-01,20,62,32.25806451612903
2014-04-02,3,17,17.647058823529413
2014-04-03,2,9,22.22222222222222
2014-04-04,1,7,14.285714285714285
2014-04-05,1,6,16.666666666666664
2014-04-06,1,5,20.0
2014-04-07,1,8,12.5
2014-04-08,5,53,9.433962264150944
2014-04-09,1,14,7.142857142857142
2014-04-10,1,8,12.5
2014-04-11,1,6,16.666666666666664
2014-04-12,1,6,16.666666666666664
2014-04-13,1,6,16.666666666666664
2014-04-14,1,8,12.5
2014-04-15,4,77,5.194805194805195
2014-04-16,1,16,6.25
2014-04-17,1,9,11.11111111111111
2014-04-18,1,7,14.285714285714285
2014-04-19,1,6,16.666666666666664
2014-04-20,1,6,16.666666666666664
2014-04-21,2,7,28.57142857142857
2014-04-22,8,62,12.903225806451612
2014-04-23,2,14,14.285714285714285
2014-04-24,1,7,14.285714285714285
2014-04-25,1,7,14.285714285714285
2014-04-26,1,7,14.285714285714285
2014-04-27,1,6,16.666666666666664
2014-04-28,1,8,12.5
2014-04-29,1,66,1.5151515151515151
2014-04-30,1,15,6.666666666666667
2014-05-01,1,8,12.5
2014-05-02,1,6,16.666666666666664
2014-05-03,1,6,16.666666666666664
2014-05-04,1,5,20.0
2014-05-05,1,7,14.285714285714285
2014-05-06,1,64,1.5625
2014-05-07,1,15,6.666666666666667
2014-05-08,1,8,12.5
2014-05-09,1,5,20.0
2014-05-10,1,6,16.666666666666664
2014-05-11,1,6,16.666666666666664
2014-05-12,1,8,12.5
2014-05-13,1,75,1.3333333333333335
2014-05-14,1,15,6.666666666666667
2014-05-15,1,8,12.5
2014-05-16,1,7,14.285714285714285
2014-05-17,1,7,14.285714285714285
2014-05-18,1,7,14.285714285714285
2014-05-19,1,18,5.555555555555555
2014-05-20,1,100,1.0
