date,James Maslow,Dancing with the Stars,normalized_score
2014-03-17,1,23,4.3478260869565215
2014-03-18,12,96,12.5
2014-03-19,2,23,8.695652173913043
2014-03-20,1,12,8.333333333333332
2014-03-21,1,8,12.5
2014-03-22,1,8,12.5
2014-03-23,1,7,14.285714285714285
2014-03-24,1,10,10.0
2014-03-25,15,91,16.483516483516482
2014-03-26,2,20,10.0
2014-03-27,1,11,9.090909090909092
2014-03-28,1,7,14.285714285714285
2014-03-29,1,7,14.285714285714285
2014-03-30,2,6,33.33333333333333
2014-03-31,1,7,14.285714285714285
2014-04-01,9,62,14.516129032258066
2014-04-02,2,17,11.76470588235294
2014-04-03,1,9,11.11111111111111
2014-04-04,1,7,14.285714285714285
2014-04-05,1,6,16.666666666666664
2014-04-06,1,5,20.0
2014-04-07,1,8,12.5
2014-04-08,18,53,33.9622641509434
2014-04-09,3,14,21.428571428571427
2014-04-10,2,8,25.0
2014-04-11,1,6,16.666666666666664
2014-04-12,1,6,16.666666666666664
2014-04-13,1,6,16.666666666666664
2014-04-14,1,8,12.5
2014-04-15,20,77,25.97402597402597
2014-04-16,4,16,25.0
2014-04-17,2,9,22.22222222222222
2014-04-18,2,7,28.57142857142857
2014-04-19,2,6,33.33333333333333
2014-04-20,2,6,33.33333333333333
2014-04-21,1,7,14.285714285714285
2014-04-22,7,62,11.29032258064516
2014-04-23,2,14,14.285714285714285
2014-04-24,2,7,28.57142857142857
2014-04-25,2,7,28.57142857142857
2014-04-26,1,7,14.285714285714285
2014-04-27,1,6,16.666666666666664
2014-04-28,1,8,12.5
2014-04-29,9,66,13.636363636363635
2014-04-30,2,15,13.333333333333334
2014-05-01,1,8,12.5
2014-05-02,1,6,16.666666666666664
2014-05-03,1,6,16.666666666666664
2014-05-04,1,5,20.0
2014-05-05,1,7,14.285714285714285
2014-05-06,6,64,9.375
2014-05-07,1,15,6.666666666666667
2014-05-08,1,8,12.5
2014-05-09,1,5,20.0
2014-05-10,1,6,16.666666666666664
2014-05-11,1,6,16.666666666666664
2014-05-12,1,8,12.5
2014-05-13,9,75,12.0
2014-05-14,2,15,13.333333333333334
2014-05-15,1,8,12.5
2014-05-16,1,7,14.285714285714285
2014-05-17,1,7,14.285714285714285
2014-05-18,1,7,14.285714285714285
2014-05-19,2,18,11.11111111111111
2014-05-20,17,100,17.0
