date,Mr. T,Dancing with the Stars,normalized_score
2017-03-20,1,20,5.0
2017-03-21,11,98,11.224489795918368
2017-03-22,2,25,8.0
2017-03-23,1,12,8.333333333333332
2017-03-24,1,8,12.5
2017-03-25,1,7,14.285714285714285
2017-03-26,1,6,16.666666666666664
2017-03-27,0,9,0.0
2017-03-28,5,76,6.578947368421052
2017-03-29,1,15,6.666666666666667
2017-03-30,0,8,0.0
2017-03-31,1,6,16.666666666666664
2017-04-01,1,5,20.0
2017-04-02,0,5,0.0
2017-04-03,0,6,0.0
2017-04-04,4,51,7.8431372549019605
2017-04-05,1,11,9.090909090909092
2017-04-06,0,6,0.0
2017-04-07,0,4,0.0
2017-04-08,0,5,0.0
2017-04-09,0,5,0.0
2017-04-10,0,6,0.0
2017-04-11,4,51,7.8431372549019605
2017-04-12,1,12,8.333333333333332
2017-04-13,0,6,0.0
2017-04-14,0,5,0.0
2017-04-15,0,5,0.0
2017-04-16,0,5,0.0
2017-04-17,0,6,0.0
2017-04-18,0,47,0.0
2017-04-19,0,13,0.0
2017-04-20,0,8,0.0
2017-04-21,0,5,0.0
2017-04-22,0,5,0.0
2017-04-23,0,4,0.0
2017-04-24,0,5,0.0
2017-04-25,0,50,0.0
2017-04-26,0,11,0.0
2017-04-27,0,6,0.0
2017-04-28,0,5,0.0
2017-04-29,0,5,0.0
2017-04-30,0,4,0.0
2017-05-01,0,6,0.0
2017-05-02,0,51,0.0
2017-05-03,0,13,0.0
2017-05-04,0,7,0.0
2017-05-05,0,5,0.0
2017-05-06,0,5,0.0
2017-05-07,0,5,0.0
2017-05-08,0,6,0.0
2017-05-09,0,45,0.0
2017-05-10,0,10,0.0
2017-05-11,0,5,0.0
2017-05-12,0,4,0.0
2017-05-13,0,5,0.0
2017-05-14,0,4,0.0
2017-05-15,0,6,0.0
2017-05-16,0,55,0.0
2017-05-17,0,12,0.0
2017-05-18,0,6,0.0
2017-05-19,0,5,0.0
2017-05-20,0,5,0.0
2017-05-21,0,5,0.0
2017-05-22,0,11,0.0
2017-05-23,0,60,0.0
