date,Erika Jayne,Dancing with the Stars,normalized_score
2017-03-20,2,20,10.0
2017-03-21,18,100,18.0
2017-03-22,11,25,44.0
2017-03-23,4,13,30.76923076923077
2017-03-24,3,8,37.5
2017-03-25,2,7,28.57142857142857
2017-03-26,1,7,14.285714285714285
2017-03-27,1,9,11.11111111111111
2017-03-28,8,77,10.38961038961039
2017-03-29,4,15,26.666666666666668
2017-03-30,2,8,25.0
2017-03-31,1,6,16.666666666666664
2017-04-01,1,5,20.0
2017-04-02,1,5,20.0
2017-04-03,1,6,16.666666666666664
2017-04-04,5,52,9.615384615384617
2017-04-05,2,11,18.181818181818183
2017-04-06,1,6,16.666666666666664
2017-04-07,2,4,50.0
2017-04-08,1,5,20.0
2017-04-09,1,5,20.0
2017-04-10,2,6,33.33333333333333
2017-04-11,9,52,17.307692307692307
2017-04-12,6,12,50.0
2017-04-13,2,7,28.57142857142857
2017-04-14,2,6,33.33333333333333
2017-04-15,1,5,20.0
2017-04-16,1,5,20.0
2017-04-17,1,6,16.666666666666664
2017-04-18,11,47,23.404255319148938
2017-04-19,5,13,38.46153846153847
2017-04-20,2,8,25.0
2017-04-21,2,5,40.0
2017-04-22,1,5,20.0
2017-04-23,1,5,20.0
2017-04-24,1,5,20.0
2017-04-25,2,51,3.9215686274509802
2017-04-26,2,11,18.181818181818183
2017-04-27,2,6,33.33333333333333
2017-04-28,1,5,20.0
2017-04-29,1,5,20.0
2017-04-30,1,5,20.0
2017-05-01,1,6,16.666666666666664
2017-05-02,1,52,1.9230769230769231
2017-05-03,0,13,0.0
2017-05-04,0,7,0.0
2017-05-05,0,5,0.0
2017-05-06,0,5,0.0
2017-05-07,1,5,20.0
2017-05-08,1,6,16.666666666666664
2017-05-09,1,46,2.1739130434782608
2017-05-10,0,10,0.0
2017-05-11,0,6,0.0
2017-05-12,0,5,0.0
2017-05-13,0,5,0.0
2017-05-14,0,5,0.0
2017-05-15,0,6,0.0
2017-05-16,0,56,0.0
2017-05-17,0,12,0.0
2017-05-18,0,6,0.0
2017-05-19,0,5,0.0
2017-05-20,0,5,0.0
2017-05-21,0,5,0.0
2017-05-22,0,11,0.0
2017-05-23,0,61,0.0
