date,Vanilla Ice,Dancing with the Stars,normalized_score
2016-09-12,1,9,11.11111111111111
2016-09-13,9,100,9.0
2016-09-14,3,17,17.647058823529413
2016-09-15,1,8,12.5
2016-09-16,1,4,25.0
2016-09-17,1,4,25.0
2016-09-18,1,3,33.33333333333333
2016-09-19,1,4,25.0
2016-09-20,5,22,22.727272727272727
2016-09-21,4,26,15.384615384615385
2016-09-22,2,7,28.57142857142857
2016-09-23,1,4,25.0
2016-09-24,1,4,25.0
2016-09-25,1,3,33.33333333333333
2016-09-26,1,4,25.0
2016-09-27,2,11,18.181818181818183
2016-09-28,2,18,11.11111111111111
2016-09-29,1,5,20.0
2016-09-30,1,3,33.33333333333333
2016-10-01,1,3,33.33333333333333
2016-10-02,1,2,50.0
2016-10-03,1,3,33.33333333333333
2016-10-04,2,18,11.11111111111111
2016-10-05,2,20,10.0
2016-10-06,1,5,20.0
2016-10-07,2,3,66.66666666666666
2016-10-08,2,2,100.0
2016-10-09,1,2,50.0
2016-10-10,1,3,33.33333333333333
2016-10-11,1,19,5.263157894736842
2016-10-12,1,7,14.285714285714285
2016-10-13,1,4,25.0
2016-10-14,1,2,50.0
2016-10-15,1,2,50.0
2016-10-16,1,2,50.0
2016-10-17,1,3,33.33333333333333
2016-10-18,1,19,5.263157894736842
2016-10-19,1,5,20.0
2016-10-20,2,3,66.66666666666666
2016-10-21,1,3,33.33333333333333
2016-10-22,1,2,50.0
2016-10-23,1,2,50.0
2016-10-24,1,2,50.0
2016-10-25,1,15,6.666666666666667
2016-10-26,1,3,33.33333333333333
2016-10-27,1,3,33.33333333333333
2016-10-28,1,2,50.0
2016-10-29,1,2,50.0
2016-10-30,1,2,50.0
2016-10-31,1,4,25.0
2016-11-01,1,15,6.666666666666667
2016-11-02,1,4,25.0
2016-11-03,1,3,33.33333333333333
2016-11-04,1,2,50.0
2016-11-05,1,2,50.0
2016-11-06,1,2,50.0
2016-11-07,1,3,33.33333333333333
2016-11-08,0,15,0.0
2016-11-09,0,2,0.0
2016-11-10,0,2,0.0
2016-11-11,1,2,50.0
2016-11-12,1,2,50.0
2016-11-13,1,2,50.0
2016-11-14,1,3,33.33333333333333
2016-11-15,1,19,5.263157894736842
2016-11-16,1,5,20.0
2016-11-17,0,2,0.0
2016-11-18,1,2,50.0
2016-11-19,1,2,50.0
2016-11-20,1,2,50.0
2016-11-21,1,4,25.0
2016-11-22,1,25,4.0
