date,Ryan Lochte,Dancing with the Stars,normalized_score
2016-09-12,2,9,22.22222222222222
2016-09-13,66,100,66.0
2016-09-14,12,17,70.58823529411765
2016-09-15,4,8,50.0
2016-09-16,3,4,75.0
2016-09-17,2,4,50.0
2016-09-18,2,3,66.66666666666666
2016-09-19,2,4,50.0
2016-09-20,5,22,22.727272727272727
2016-09-21,4,26,15.384615384615385
2016-09-22,1,7,14.285714285714285
2016-09-23,1,4,25.0
2016-09-24,1,4,25.0
2016-09-25,1,3,33.33333333333333
2016-09-26,1,4,25.0
2016-09-27,1,11,9.090909090909092
2016-09-28,1,18,5.555555555555555
2016-09-29,1,5,20.0
2016-09-30,1,3,33.33333333333333
2016-10-01,1,3,33.33333333333333
2016-10-02,1,2,50.0
2016-10-03,1,3,33.33333333333333
2016-10-04,2,18,11.11111111111111
2016-10-05,1,20,5.0
2016-10-06,1,5,20.0
2016-10-07,1,3,33.33333333333333
2016-10-08,1,2,50.0
2016-10-09,0,2,0.0
2016-10-10,4,3,133.33333333333331
2016-10-11,5,19,26.31578947368421
2016-10-12,1,7,14.285714285714285
2016-10-13,1,4,25.0
2016-10-14,1,2,50.0
2016-10-15,1,2,50.0
2016-10-16,1,2,50.0
2016-10-17,1,3,33.33333333333333
2016-10-18,2,19,10.526315789473683
2016-10-19,1,5,20.0
2016-10-20,1,3,33.33333333333333
2016-10-21,1,3,33.33333333333333
2016-10-22,1,2,50.0
2016-10-23,1,2,50.0
2016-10-24,1,2,50.0
2016-10-25,1,15,6.666666666666667
2016-10-26,0,3,0.0
2016-10-27,0,3,0.0
2016-10-28,1,2,50.0
2016-10-29,1,2,50.0
2016-10-30,1,2,50.0
2016-10-31,0,4,0.0
2016-11-01,1,15,6.666666666666667
2016-11-02,0,4,0.0
2016-11-03,0,3,0.0
2016-11-04,0,2,0.0
2016-11-05,0,2,0.0
2016-11-06,0,2,0.0
2016-11-07,0,3,0.0
2016-11-08,0,15,0.0
2016-11-09,0,2,0.0
2016-11-10,0,2,0.0
2016-11-11,0,2,0.0
2016-11-12,0,2,0.0
2016-11-13,0,2,0.0
2016-11-14,0,3,0.0
2016-11-15,0,19,0.0
2016-11-16,0,5,0.0
2016-11-17,0,2,0.0
2016-11-18,0,2,0.0
2016-11-19,0,2,0.0
2016-11-20,0,2,0.0
2016-11-21,0,4,0.0
2016-11-22,0,25,0.0
