date,Laurie Hernandez,Dancing with the Stars,normalized_score
2016-09-12,0,9,0.0
2016-09-13,5,100,5.0
2016-09-14,1,17,5.88235294117647
2016-09-15,1,8,12.5
2016-09-16,1,4,25.0
2016-09-17,0,4,0.0
2016-09-18,0,3,0.0
2016-09-19,0,4,0.0
2016-09-20,2,22,9.090909090909092
2016-09-21,1,26,3.8461538461538463
2016-09-22,0,7,0.0
2016-09-23,0,4,0.0
2016-09-24,0,4,0.0
2016-09-25,0,3,0.0
2016-09-26,0,4,0.0
2016-09-27,1,11,9.090909090909092
2016-09-28,1,18,5.555555555555555
2016-09-29,0,5,0.0
2016-09-30,0,3,0.0
2016-10-01,0,3,0.0
2016-10-02,0,2,0.0
2016-10-03,0,3,0.0
2016-10-04,3,18,16.666666666666664
2016-10-05,1,20,5.0
2016-10-06,1,5,20.0
2016-10-07,0,3,0.0
2016-10-08,0,2,0.0
2016-10-09,0,2,0.0
2016-10-10,1,3,33.33333333333333
2016-10-11,2,19,10.526315789473683
2016-10-12,1,7,14.285714285714285
2016-10-13,0,4,0.0
2016-10-14,0,2,0.0
2016-10-15,0,2,0.0
2016-10-16,0,2,0.0
2016-10-17,0,3,0.0
2016-10-18,1,19,5.263157894736842
2016-10-19,0,5,0.0
2016-10-20,0,3,0.0
2016-10-21,0,3,0.0
2016-10-22,0,2,0.0
2016-10-23,0,2,0.0
2016-10-24,0,2,0.0
2016-10-25,1,15,6.666666666666667
2016-10-26,0,3,0.0
2016-10-27,0,3,0.0
2016-10-28,0,2,0.0
2016-10-29,0,2,0.0
2016-10-30,0,2,0.0
2016-10-31,0,4,0.0
2016-11-01,1,15,6.666666666666667
2016-11-02,0,4,0.0
2016-11-03,0,3,0.0
2016-11-04,0,2,0.0
2016-11-05,0,2,0.0
2016-11-06,0,2,0.0
2016-11-07,0,3,0.0
2016-11-08,2,15,13.333333333333334
2016-11-09,0,2,0.0
2016-11-10,0,2,0.0
2016-11-11,0,2,0.0
2016-11-12,0,2,0.0
2016-11-13,0,2,0.0
2016-11-14,0,3,0.0
2016-11-15,4,19,21.052631578947366
2016-11-16,2,5,40.0
2016-11-17,1,2,50.0
2016-11-18,0,2,0.0
2016-11-19,0,2,0.0
2016-11-20,0,2,0.0
2016-11-21,0,4,0.0
2016-11-22,3,25,12.0
