date,Kurt Warner,Dancing with the Stars,normalized_score
2010-09-20,1,19,5.263157894736842
2010-09-21,6,80,7.5
2010-09-22,2,71,2.8169014084507045
2010-09-23,1,15,6.666666666666667
2010-09-24,0,7,0.0
2010-09-25,1,7,14.285714285714285
2010-09-26,0,5,0.0
2010-09-27,0,8,0.0
2010-09-28,4,46,8.695652173913043
2010-09-29,1,55,1.8181818181818181
2010-09-30,0,14,0.0
2010-10-01,0,7,0.0
2010-10-02,0,7,0.0
2010-10-03,0,5,0.0
2010-10-04,0,7,0.0
2010-10-05,2,33,6.0606060606060606
2010-10-06,1,42,2.380952380952381
2010-10-07,0,12,0.0
2010-10-08,0,6,0.0
2010-10-09,0,4,0.0
2010-10-10,1,4,25.0
2010-10-11,1,6,16.666666666666664
2010-10-12,3,29,10.344827586206897
2010-10-13,1,40,2.5
2010-10-14,0,11,0.0
2010-10-15,0,6,0.0
2010-10-16,0,5,0.0
2010-10-17,0,4,0.0
2010-10-18,0,5,0.0
2010-10-19,2,22,9.090909090909092
2010-10-20,1,43,2.3255813953488373
2010-10-21,0,11,0.0
2010-10-22,0,7,0.0
2010-10-23,0,5,0.0
2010-10-24,0,4,0.0
2010-10-25,0,5,0.0
2010-10-26,1,26,3.8461538461538463
2010-10-27,1,46,2.1739130434782608
2010-10-28,0,12,0.0
2010-10-29,0,6,0.0
2010-10-30,0,5,0.0
2010-10-31,1,5,20.0
2010-11-01,0,6,0.0
2010-11-02,1,24,4.166666666666666
2010-11-03,1,45,2.2222222222222223
2010-11-04,0,11,0.0
2010-11-05,0,6,0.0
2010-11-06,0,5,0.0
2010-11-07,0,5,0.0
2010-11-08,0,5,0.0
2010-11-09,2,28,7.142857142857142
2010-11-10,4,53,7.547169811320755
2010-11-11,1,15,6.666666666666667
2010-11-12,0,7,0.0
2010-11-13,0,6,0.0
2010-11-14,0,5,0.0
2010-11-15,0,6,0.0
2010-11-16,0,35,0.0
2010-11-17,0,100,0.0
2010-11-18,0,29,0.0
2010-11-19,0,14,0.0
2010-11-20,0,11,0.0
2010-11-21,0,8,0.0
2010-11-22,0,12,0.0
2010-11-23,0,87,0.0
