date,Mel B,Dancing with the Stars,normalized_score
2007-09-24,0,28,0.0
2007-09-25,1,61,1.639344262295082
2007-09-26,0,56,0.0
2007-09-27,0,68,0.0
2007-09-28,0,14,0.0
2007-09-29,0,10,0.0
2007-09-30,0,8,0.0
2007-10-01,0,12,0.0
2007-10-02,1,53,1.8867924528301887
2007-10-03,0,69,0.0
2007-10-04,0,17,0.0
2007-10-05,0,8,0.0
2007-10-06,0,7,0.0
2007-10-07,0,6,0.0
2007-10-08,0,10,0.0
2007-10-09,1,37,2.7027027027027026
2007-10-10,0,45,0.0
2007-10-11,0,12,0.0
2007-10-12,0,7,0.0
2007-10-13,0,5,0.0
2007-10-14,0,5,0.0
2007-10-15,0,6,0.0
2007-10-16,0,34,0.0
2007-10-17,0,50,0.0
2007-10-18,0,13,0.0
2007-10-19,0,7,0.0
2007-10-20,0,6,0.0
2007-10-21,0,6,0.0
2007-10-22,0,8,0.0
2007-10-23,1,71,1.4084507042253522
2007-10-24,0,61,0.0
2007-10-25,0,17,0.0
2007-10-26,0,8,0.0
2007-10-27,0,7,0.0
2007-10-28,0,6,0.0
2007-10-29,0,7,0.0
2007-10-30,1,37,2.7027027027027026
2007-10-31,1,100,1.0
2007-11-01,0,27,0.0
2007-11-02,0,12,0.0
2007-11-03,0,9,0.0
2007-11-04,0,6,0.0
2007-11-05,0,13,0.0
2007-11-06,2,53,3.7735849056603774
2007-11-07,2,70,2.857142857142857
2007-11-08,0,24,0.0
2007-11-09,0,14,0.0
2007-11-10,0,12,0.0
2007-11-11,0,8,0.0
2007-11-12,0,10,0.0
2007-11-13,2,53,3.7735849056603774
2007-11-14,1,69,1.4492753623188406
2007-11-15,0,24,0.0
2007-11-16,0,11,0.0
2007-11-17,0,9,0.0
2007-11-18,0,7,0.0
2007-11-19,1,9,11.11111111111111
2007-11-20,2,59,3.389830508474576
2007-11-21,2,80,2.5
2007-11-22,1,23,4.3478260869565215
2007-11-23,0,12,0.0
2007-11-24,1,11,9.090909090909092
2007-11-25,0,10,0.0
2007-11-26,0,14,0.0
2007-11-27,3,90,3.3333333333333335
