date,Ian Ziering,Dancing with the Stars,normalized_score
2007-03-19,1,28,3.571428571428571
2007-03-20,2,92,2.1739130434782608
2007-03-21,0,22,0.0
2007-03-22,1,11,9.090909090909092
2007-03-23,0,8,0.0
2007-03-24,1,5,20.0
2007-03-25,0,6,0.0
2007-03-26,0,13,0.0
2007-03-27,2,62,3.225806451612903
2007-03-28,0,93,0.0
2007-03-29,0,22,0.0
2007-03-30,0,9,0.0
2007-03-31,0,7,0.0
2007-04-01,0,7,0.0
2007-04-02,0,9,0.0
2007-04-03,2,49,4.081632653061225
2007-04-04,1,73,1.36986301369863
2007-04-05,0,20,0.0
2007-04-06,0,10,0.0
2007-04-07,0,8,0.0
2007-04-08,0,6,0.0
2007-04-09,0,8,0.0
2007-04-10,1,43,2.3255813953488373
2007-04-11,1,68,1.4705882352941175
2007-04-12,1,19,5.263157894736842
2007-04-13,0,9,0.0
2007-04-14,0,8,0.0
2007-04-15,0,5,0.0
2007-04-16,0,7,0.0
2007-04-17,1,46,2.1739130434782608
2007-04-18,1,71,1.4084507042253522
2007-04-19,0,21,0.0
2007-04-20,0,10,0.0
2007-04-21,0,8,0.0
2007-04-22,0,7,0.0
2007-04-23,0,9,0.0
2007-04-24,1,47,2.127659574468085
2007-04-25,1,65,1.5384615384615385
2007-04-26,0,16,0.0
2007-04-27,0,9,0.0
2007-04-28,0,7,0.0
2007-04-29,0,6,0.0
2007-04-30,0,9,0.0
2007-05-01,1,44,2.272727272727273
2007-05-02,1,64,1.5625
2007-05-03,0,17,0.0
2007-05-04,0,9,0.0
2007-05-05,0,6,0.0
2007-05-06,0,4,0.0
2007-05-07,0,8,0.0
2007-05-08,1,50,2.0
2007-05-09,1,70,1.4285714285714286
2007-05-10,1,23,4.3478260869565215
2007-05-11,0,11,0.0
2007-05-12,0,10,0.0
2007-05-13,0,7,0.0
2007-05-14,1,11,9.090909090909092
2007-05-15,1,74,1.3513513513513513
2007-05-16,4,98,4.081632653061225
2007-05-17,1,28,3.571428571428571
2007-05-18,0,13,0.0
2007-05-19,0,9,0.0
2007-05-20,0,8,0.0
2007-05-21,0,22,0.0
2007-05-22,0,100,0.0
