date,Paulina Porizkova,Dancing with the Stars,normalized_score
2007-03-19,2,28,7.142857142857142
2007-03-20,3,92,3.260869565217391
2007-03-21,1,22,4.545454545454546
2007-03-22,0,11,0.0
2007-03-23,1,8,12.5
2007-03-24,1,5,20.0
2007-03-25,0,6,0.0
2007-03-26,0,13,0.0
2007-03-27,2,62,3.225806451612903
2007-03-28,11,93,11.827956989247312
2007-03-29,2,22,9.090909090909092
2007-03-30,0,9,0.0
2007-03-31,1,7,14.285714285714285
2007-04-01,1,7,14.285714285714285
2007-04-02,1,9,11.11111111111111
2007-04-03,1,49,2.0408163265306123
2007-04-04,0,73,0.0
2007-04-05,0,20,0.0
2007-04-06,0,10,0.0
2007-04-07,0,8,0.0
2007-04-08,0,6,0.0
2007-04-09,0,8,0.0
2007-04-10,0,43,0.0
2007-04-11,0,68,0.0
2007-04-12,0,19,0.0
2007-04-13,0,9,0.0
2007-04-14,0,8,0.0
2007-04-15,0,5,0.0
2007-04-16,0,7,0.0
2007-04-17,0,46,0.0
2007-04-18,1,71,1.4084507042253522
2007-04-19,1,21,4.761904761904762
2007-04-20,1,10,10.0
2007-04-21,0,8,0.0
2007-04-22,1,7,14.285714285714285
2007-04-23,1,9,11.11111111111111
2007-04-24,0,47,0.0
2007-04-25,0,65,0.0
2007-04-26,0,16,0.0
2007-04-27,0,9,0.0
2007-04-28,0,7,0.0
2007-04-29,0,6,0.0
2007-04-30,0,9,0.0
2007-05-01,0,44,0.0
2007-05-02,0,64,0.0
2007-05-03,1,17,5.88235294117647
2007-05-04,0,9,0.0
2007-05-05,0,6,0.0
2007-05-06,0,4,0.0
2007-05-07,0,8,0.0
2007-05-08,0,50,0.0
2007-05-09,0,70,0.0
2007-05-10,0,23,0.0
2007-05-11,0,11,0.0
2007-05-12,0,10,0.0
2007-05-13,0,7,0.0
2007-05-14,0,11,0.0
2007-05-15,0,74,0.0
2007-05-16,0,98,0.0
2007-05-17,0,28,0.0
2007-05-18,0,13,0.0
2007-05-19,0,9,0.0
2007-05-20,0,8,0.0
2007-05-21,0,22,0.0
2007-05-22,0,100,0.0
