date,Jenn Tran,Dancing with the Stars,normalized_score
2024-09-17,1,31,3.225806451612903
2024-09-18,5,100,5.0
2024-09-19,3,27,11.11111111111111
2024-09-20,2,18,11.11111111111111
2024-09-21,2,15,13.333333333333334
2024-09-22,2,16,12.5
2024-09-23,1,16,6.25
2024-09-24,1,26,3.8461538461538463
2024-09-25,3,86,3.488372093023256
2024-09-26,2,24,8.333333333333332
2024-09-27,1,14,7.142857142857142
2024-09-28,1,11,9.090909090909092
2024-09-29,1,9,11.11111111111111
2024-09-30,0,9,0.0
2024-10-01,1,13,7.6923076923076925
2024-10-02,0,13,0.0
2024-10-03,0,7,0.0
2024-10-04,0,7,0.0
2024-10-05,0,6,0.0
2024-10-06,0,6,0.0
2024-10-07,1,13,7.6923076923076925
2024-10-08,3,42,7.142857142857142
2024-10-09,3,56,5.357142857142857
2024-10-10,2,15,13.333333333333334
2024-10-11,1,10,10.0
2024-10-12,1,9,11.11111111111111
2024-10-13,1,8,12.5
2024-10-14,1,11,9.090909090909092
2024-10-15,1,15,6.666666666666667
2024-10-16,4,51,7.8431372549019605
2024-10-17,1,14,7.142857142857142
2024-10-18,1,10,10.0
2024-10-19,1,8,12.5
2024-10-20,1,8,12.5
2024-10-21,0,8,0.0
2024-10-22,1,15,6.666666666666667
2024-10-23,5,61,8.19672131147541
2024-10-24,2,15,13.333333333333334
2024-10-25,2,11,18.181818181818183
2024-10-26,1,11,9.090909090909092
2024-10-27,1,9,11.11111111111111
2024-10-28,1,9,11.11111111111111
2024-10-29,1,14,7.142857142857142
2024-10-30,6,56,10.714285714285714
2024-10-31,4,11,36.36363636363637
2024-11-01,3,9,33.33333333333333
2024-11-02,3,9,33.33333333333333
2024-11-03,2,7,28.57142857142857
2024-11-04,2,7,28.57142857142857
2024-11-05,1,7,14.285714285714285
2024-11-06,1,6,16.666666666666664
2024-11-07,1,6,16.666666666666664
2024-11-08,1,5,20.0
2024-11-09,1,5,20.0
2024-11-10,2,5,40.0
2024-11-11,1,6,16.666666666666664
2024-11-12,1,10,10.0
2024-11-13,2,61,3.278688524590164
2024-11-14,4,13,30.76923076923077
2024-11-15,2,8,25.0
2024-11-16,2,8,25.0
2024-11-17,1,8,12.5
2024-11-18,1,6,16.666666666666664
2024-11-19,1,11,9.090909090909092
2024-11-20,2,74,2.7027027027027026
2024-11-21,1,15,6.666666666666667
2024-11-22,1,9,11.11111111111111
2024-11-23,2,14,14.285714285714285
2024-11-24,1,10,10.0
2024-11-25,1,10,10.0
2024-11-26,1,31,3.225806451612903
