date,Emmitt Smith,Dancing with the Stars,normalized_score
2006-09-12,0,17,0.0
2006-09-13,1,53,1.8867924528301887
2006-09-14,1,41,2.4390243902439024
2006-09-15,0,10,0.0
2006-09-16,0,6,0.0
2006-09-17,0,5,0.0
2006-09-18,0,5,0.0
2006-09-19,0,8,0.0
2006-09-20,1,33,3.0303030303030303
2006-09-21,0,37,0.0
2006-09-22,1,9,11.11111111111111
2006-09-23,1,4,25.0
2006-09-24,0,3,0.0
2006-09-25,0,4,0.0
2006-09-26,0,6,0.0
2006-09-27,1,39,2.564102564102564
2006-09-28,0,40,0.0
2006-09-29,0,9,0.0
2006-09-30,0,5,0.0
2006-10-01,1,4,25.0
2006-10-02,0,3,0.0
2006-10-03,0,6,0.0
2006-10-04,0,31,0.0
2006-10-05,0,40,0.0
2006-10-06,0,9,0.0
2006-10-07,0,5,0.0
2006-10-08,0,3,0.0
2006-10-09,0,4,0.0
2006-10-10,0,6,0.0
2006-10-11,1,31,3.225806451612903
2006-10-12,0,42,0.0
2006-10-13,0,46,0.0
2006-10-14,0,21,0.0
2006-10-15,0,13,0.0
2006-10-16,0,14,0.0
2006-10-17,0,15,0.0
2006-10-18,1,58,1.7241379310344827
2006-10-19,1,45,2.2222222222222223
2006-10-20,1,11,9.090909090909092
2006-10-21,0,7,0.0
2006-10-22,0,4,0.0
2006-10-23,0,3,0.0
2006-10-24,1,6,16.666666666666664
2006-10-25,2,29,6.896551724137931
2006-10-26,1,40,2.5
2006-10-27,0,10,0.0
2006-10-28,0,6,0.0
2006-10-29,1,5,20.0
2006-10-30,0,4,0.0
2006-10-31,0,6,0.0
2006-11-01,1,33,3.0303030303030303
2006-11-02,1,52,1.9230769230769231
2006-11-03,0,16,0.0
2006-11-04,0,10,0.0
2006-11-05,0,6,0.0
2006-11-06,0,5,0.0
2006-11-07,0,6,0.0
2006-11-08,2,42,4.761904761904762
2006-11-09,2,66,3.0303030303030303
2006-11-10,1,16,6.25
2006-11-11,1,9,11.11111111111111
2006-11-12,0,6,0.0
2006-11-13,1,7,14.285714285714285
2006-11-14,1,13,7.6923076923076925
2006-11-15,7,100,7.000000000000001
