date,Aaron Carter,Dancing with the Stars,normalized_score
2009-09-21,2,38,5.263157894736842
2009-09-22,12,89,13.48314606741573
2009-09-23,3,95,3.1578947368421053
2009-09-24,2,100,2.0
2009-09-25,2,27,7.4074074074074066
2009-09-26,2,19,10.526315789473683
2009-09-27,2,13,15.384615384615385
2009-09-28,1,16,6.25
2009-09-29,6,60,10.0
2009-09-30,3,65,4.615384615384616
2009-10-01,2,23,8.695652173913043
2009-10-02,1,17,5.88235294117647
2009-10-03,1,12,8.333333333333332
2009-10-04,1,10,10.0
2009-10-05,1,12,8.333333333333332
2009-10-06,5,54,9.25925925925926
2009-10-07,3,64,4.6875
2009-10-08,3,17,17.647058823529413
2009-10-09,2,10,20.0
2009-10-10,2,8,25.0
2009-10-11,1,6,16.666666666666664
2009-10-12,1,10,10.0
2009-10-13,6,48,12.5
2009-10-14,4,57,7.017543859649122
2009-10-15,2,18,11.11111111111111
2009-10-16,1,9,11.11111111111111
2009-10-17,1,7,14.285714285714285
2009-10-18,1,6,16.666666666666664
2009-10-19,2,11,18.181818181818183
2009-10-20,4,48,8.333333333333332
2009-10-21,3,66,4.545454545454546
2009-10-22,1,20,5.0
2009-10-23,1,11,9.090909090909092
2009-10-24,1,7,14.285714285714285
2009-10-25,1,6,16.666666666666664
2009-10-26,1,10,10.0
2009-10-27,5,40,12.5
2009-10-28,3,60,5.0
2009-10-29,2,16,12.5
2009-10-30,1,8,12.5
2009-10-31,1,7,14.285714285714285
2009-11-01,1,5,20.0
2009-11-02,1,8,12.5
2009-11-03,4,35,11.428571428571429
2009-11-04,6,59,10.16949152542373
2009-11-05,1,18,5.555555555555555
2009-11-06,1,9,11.11111111111111
2009-11-07,1,7,14.285714285714285
2009-11-08,2,7,28.57142857142857
2009-11-09,1,8,12.5
2009-11-10,6,41,14.634146341463413
2009-11-11,9,61,14.754098360655737
2009-11-12,5,20,25.0
2009-11-13,2,10,20.0
2009-11-14,1,8,12.5
2009-11-15,1,6,16.666666666666664
2009-11-16,1,8,12.5
2009-11-17,2,51,3.9215686274509802
2009-11-18,2,81,2.4691358024691357
2009-11-19,1,27,3.7037037037037033
2009-11-20,1,12,8.333333333333332
2009-11-21,1,10,10.0
2009-11-22,1,8,12.5
2009-11-23,1,12,8.333333333333332
2009-11-24,1,68,1.4705882352941175
