date,Chuck Liddell,Dancing with the Stars,normalized_score
2009-09-21,2,38,5.263157894736842
2009-09-22,6,89,6.741573033707865
2009-09-23,3,95,3.1578947368421053
2009-09-24,2,100,2.0
2009-09-25,2,27,7.4074074074074066
2009-09-26,1,19,5.263157894736842
2009-09-27,1,13,7.6923076923076925
2009-09-28,2,16,12.5
2009-09-29,4,60,6.666666666666667
2009-09-30,2,65,3.076923076923077
2009-10-01,2,23,8.695652173913043
2009-10-02,1,17,5.88235294117647
2009-10-03,1,12,8.333333333333332
2009-10-04,1,10,10.0
2009-10-05,1,12,8.333333333333332
2009-10-06,2,54,3.7037037037037033
2009-10-07,2,64,3.125
2009-10-08,1,17,5.88235294117647
2009-10-09,1,10,10.0
2009-10-10,1,8,12.5
2009-10-11,1,6,16.666666666666664
2009-10-12,1,10,10.0
2009-10-13,2,48,4.166666666666666
2009-10-14,3,57,5.263157894736842
2009-10-15,2,18,11.11111111111111
2009-10-16,1,9,11.11111111111111
2009-10-17,1,7,14.285714285714285
2009-10-18,0,6,0.0
2009-10-19,1,11,9.090909090909092
2009-10-20,1,48,2.083333333333333
2009-10-21,1,66,1.5151515151515151
2009-10-22,1,20,5.0
2009-10-23,1,11,9.090909090909092
2009-10-24,1,7,14.285714285714285
2009-10-25,1,6,16.666666666666664
2009-10-26,1,10,10.0
2009-10-27,1,40,2.5
2009-10-28,1,60,1.6666666666666667
2009-10-29,1,16,6.25
2009-10-30,1,8,12.5
2009-10-31,1,7,14.285714285714285
2009-11-01,0,5,0.0
2009-11-02,0,8,0.0
2009-11-03,1,35,2.857142857142857
2009-11-04,1,59,1.694915254237288
2009-11-05,1,18,5.555555555555555
2009-11-06,1,9,11.11111111111111
2009-11-07,0,7,0.0
2009-11-08,2,7,28.57142857142857
2009-11-09,0,8,0.0
2009-11-10,1,41,2.4390243902439024
2009-11-11,1,61,1.639344262295082
2009-11-12,1,20,5.0
2009-11-13,1,10,10.0
2009-11-14,1,8,12.5
2009-11-15,1,6,16.666666666666664
2009-11-16,1,8,12.5
2009-11-17,0,51,0.0
2009-11-18,1,81,1.2345679012345678
2009-11-19,1,27,3.7037037037037033
2009-11-20,1,12,8.333333333333332
2009-11-21,1,10,10.0
2009-11-22,1,8,12.5
2009-11-23,1,12,8.333333333333332
2009-11-24,0,68,0.0
