date,Josh Norman,Dancing with the Stars,normalized_score
2018-04-30,1,25,4.0
2018-05-01,10,100,10.0
2018-05-02,2,23,8.695652173913043
2018-05-03,1,12,8.333333333333332
2018-05-04,1,9,11.11111111111111
2018-05-05,1,9,11.11111111111111
2018-05-06,1,9,11.11111111111111
2018-05-07,0,12,0.0
2018-05-08,6,65,9.230769230769232
2018-05-09,2,14,14.285714285714285
2018-05-10,1,8,12.5
2018-05-11,1,6,16.666666666666664
2018-05-12,1,7,14.285714285714285
2018-05-13,1,8,12.5
2018-05-14,1,9,11.11111111111111
2018-05-15,8,63,12.698412698412698
2018-05-16,1,13,7.6923076923076925
2018-05-17,1,7,14.285714285714285
2018-05-18,1,5,20.0
2018-05-19,1,5,20.0
2018-05-20,1,7,14.285714285714285
2018-05-21,1,13,7.6923076923076925
